asset,asset_class,H_target,class_reference,kappa,estimator,H_hat,bias,r_squared,n_obs,invalid_day_fraction
livestock_01,livestock,0.05232891364100444,0.048,0.01,rv5m,0.023591232239227593,-0.02873768140177685,0.0743886146953826,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,rk,0.025573304062866987,-0.026755609578137454,0.08765121675576193,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,tsrv,0.026248989154390598,-0.026079924486613844,0.09504447965881735,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,pav,0.02508811274313244,-0.027240800897872,0.07974303763850366,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,pabpv,0.030915527217112604,-0.021413386423891838,0.10426180255995054,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,bpv,0.024500690099076274,-0.027828223541928168,0.08287450366095395,1000,0.0
livestock_01,livestock,0.05232891364100444,0.048,0.01,ctrv,0.026104620763621897,-0.026224292877382545,0.09134829741331851,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,rv5m,0.06264131150325622,0.028674873864362786,0.4905213767130575,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,rk,0.06029337679108423,0.026326939152190795,0.4288032750626316,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,tsrv,0.05903596890589146,0.025069531266998027,0.42056318202844667,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,pav,0.060481167717677004,0.02651473007878357,0.472650745781407,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,pabpv,0.05804180057034555,0.02407536293145212,0.4461415590268668,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,bpv,0.05822454233040991,0.02425810469151648,0.3957947355108571,1000,0.0
livestock_02,livestock,0.03396643763889343,0.048,0.01,ctrv,0.0593818030774862,0.02541536543859277,0.4167263473681392,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,rv5m,0.07740366762219916,-0.00570251946200237,0.7991793473003078,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,rk,0.07524915149666564,-0.007857035587535893,0.7467197035729355,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,tsrv,0.07406220796002423,-0.009043979124177301,0.755981824289353,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,pav,0.07857284691970978,-0.00453334016449175,0.8426286544476147,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,pabpv,0.07713301883766163,-0.0059731682465399005,0.8344043579004579,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,bpv,0.07865856966585862,-0.004447617418342917,0.8040172637703855,1000,0.0
rates_01,rates,0.08310618708420153,0.074,0.01,ctrv,0.07824790660301553,-0.004858280481186,0.7943126245668832,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,rv5m,0.03591781226616695,-0.040281439807268136,0.23494559789697378,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,rk,0.039194960829983236,-0.03700429124345185,0.2681230419645454,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,tsrv,0.04010050992966495,-0.03609874214377014,0.27970781794358157,1000,0.0
