H,kappa,delta_max,H_hat_exact,bias_exact,bias_approx,alpha_delta1
0.050000,0.000000,10,0.050000,0.000000,0.000000,0.100000
0.050000,0.000000,20,0.050000,0.000000,0.000000,0.100000
0.050000,0.000000,40,0.050000,-0.000000,0.000000,0.100000
0.050000,0.000000,100,0.050000,0.000000,0.000000,0.100000
0.050000,0.003000,10,0.049955,-0.000045,-0.000123,0.099985
0.050000,0.003000,20,0.049880,-0.000120,-0.000374,0.099985
0.050000,0.003000,40,0.049666,-0.000334,-0.001217,0.099985
0.050000,0.003000,100,0.048709,-0.001291,-0.006220,0.099985
0.050000,0.010000,10,0.049658,-0.000342,-0.001214,0.099857
0.050000,0.010000,20,0.049135,-0.000865,-0.003681,0.099857
0.050000,0.010000,40,0.047791,-0.002209,-0.011992,0.099857
0.050000,0.010000,100,0.042912,-0.007088,-0.061274,0.099857
0.050000,0.020000,10,0.048952,-0.001048,-0.004529,0.099465
0.050000,0.020000,20,0.047496,-0.002504,-0.013740,0.099465
0.050000,0.020000,40,0.044134,-0.005866,-0.044757,0.099465
0.050000,0.020000,100,0.034404,-0.015596,-0.228682,0.099465
0.050000,0.035000,10,0.047522,-0.002478,-0.013115,0.098452
0.050000,0.035000,20,0.044460,-0.005540,-0.039788,0.098452
0.050000,0.035000,40,0.038282,-0.011718,-0.129609,0.098452
0.050000,0.035000,100,0.024750,-0.025250,-0.662224,0.098452
0.100000,0.000000,10,0.100000,0.000000,0.000000,0.200000
0.100000,0.000000,20,0.100000,-0.000000,0.000000,0.200000
0.100000,0.000000,40,0.100000,-0.000000,0.000000,0.200000
0.100000,0.000000,100,0.100000,0.000000,0.000000,0.200000
0.100000,0.003000,10,0.099899,-0.000101,-0.000170,0.199976
0.100000,0.003000,20,0.099739,-0.000261,-0.000483,0.199976
0.100000,0.003000,40,0.099300,-0.000700,-0.001472,0.199976
0.100000,0.003000,100,0.097417,-0.002583,-0.006872,0.199976
0.100000,0.010000,10,0.099278,-0.000722,-0.001483,0.199792
0.100000,0.010000,20,0.098238,-0.001762,-0.004217,0.199792
0.100000,0.010000,40,0.095641,-0.004359,-0.012852,0.199792
0.100000,0.010000,100,0.086444,-0.013556,-0.060018,0.199792
0.100000,0.020000,10,0.097871,-0.002129,-0.005163,0.199277
0.100000,0.020000,20,0.095067,-0.004933,-0.014685,0.199277
0.100000,0.020000,40,0.088722,-0.011278,-0.044752,0.199277
0.100000,0.020000,100,0.070425,-0.029575,-0.208994,0.199277
0.100000,0.035000,10,0.095105,-0.004895,-0.014136,0.198021
0.100000,0.035000,20,0.089319,-0.010681,-0.040212,0.198021
0.100000,0.035000,40,0.077741,-0.022259,-0.122542,0.198021
0.100000,0.035000,100,0.051882,-0.048118,-0.572272,0.198021
0.150000,0.000000,10,0.150000,0.000000,0.000000,0.300000
0.150000,0.000000,20,0.150000,0.000000,0.000000,0.300000
0.150000,0.000000,40,0.150000,-0.000000,0.000000,0.300000
0.150000,0.000000,100,0.150000,0.000000,0.000000,0.300000
0.150000,0.003000,10,0.149824,-0.000176,-0.000237,0.299961
0.150000,0.003000,20,0.149564,-0.000436,-0.000631,0.299961
0.150000,0.003000,40,0.148878,-0.001122,-0.001800,0.299961
0.150000,0.003000,100,0.146065,-0.003935,-0.007685,0.299961
0.150000,0.010000,10,0.148837,-0.001163,-0.001832,0.299696
0.150000,0.010000,20,0.147265,-0.002735,-0.004888,0.299696
0.150000,0.010000,40,0.143462,-0.006538,-0.013938,0.299696
0.150000,0.010000,100,0.130359,-0.019641,-0.059501,0.299696
0.150000,0.020000,10,0.146707,-0.003293,-0.005953,0.299013
0.150000,0.020000,20,0.142613,-0.007387,-0.015882,0.299013
0.150000,0.020000,40,0.133561,-0.016439,-0.045285,0.299013
0.150000,0.020000,100,0.107664,-0.042336,-0.193319,0.299013
0.150000,0.035000,10,0.142646,-0.007354,-0.015413,0.297445
0.150000,0.035000,20,0.134382,-0.015618,-0.041121,0.297445
0.150000,0.035000,40,0.118025,-0.031975,-0.117252,0.297445
0.150000,0.035000,100,0.080996,-0.069004,-0.500541,0.297445
0.200000,0.000000,10,0.200000,0.000000,0.000000,0.400000
0.200000,0.000000,20,0.200000,0.000000,0.000000,0.400000
0.200000,0.000000,40,0.200000,-0.000000,0.000000,0.400000
0.200000,0.000000,100,0.200000,0.000000,0.000000,0.400000
0.200000,0.003000,10,0.199721,-0.000279,-0.000333,0.399935
0.200000,0.003000,20,0.199339,-0.000661,-0.000834,0.399935
0.200000,0.003000,40,0.198374,-0.001626,-0.002225,0.399935
0.200000,0.003000,100,0.194597,-0.005403,-0.008684,0.399935
0.200000,0.010000,10,0.198305,-0.001695,-0.002287,0.399552
0.200000,0.010000,20,0.196168,-0.003832,-0.005724,0.399552
0.200000,0.010000,40,0.191172,-0.008828,-0.015274,0.399552
0.200000,0.010000,100,0.174468,-0.025532,-0.059613,0.399552
0.200000,0.020000,10,0.195405,-0.004595,-0.006932,0.398642
0.200000,0.020000,20,0.190046,-0.009954,-0.017352,0.398642
0.200000,0.020000,40,0.178486,-0.021514,-0.046303,0.398642
0.200000,0.020000,100,0.145799,-0.054201,-0.180712,0.398642
0.200000,0.035000,10,0.190057,-0.009943,-0.016971,0.396676
0.200000,0.035000,20,0.179489,-0.020511,-0.042483,0.396676
0.200000,0.035000,40,0.158856,-0.041144,-0.113363,0.396676
0.200000,0.035000,100,0.111742,-0.088258,-0.442433,0.396676
0.300000,0.000000,10,0.300000,0.000000,0.000000,0.600000
0.300000,0.000000,20,0.300000,-0.000000,0.000000,0.600000
0.300000,0.000000,40,0.300000,-0.000000,0.000000,0.600000
0.300000,0.000000,100,0.300000,0.000000,0.000000,0.600000
0.300000,0.003000,10,0.299367,-0.000633,-0.000676,0.599816
0.300000,0.003000,20,0.298644,-0.001356,-0.001492,0.599816
0.300000,0.003000,40,0.296975,-0.003025,-0.003489,0.599816
0.300000,0.003000,100,0.291074,-0.008926,-0.011386,0.599816
0.300000,0.010000,10,0.296811,-0.003189,-0.003648,0.599009
0.300000,0.010000,20,0.293390,-0.006610,-0.008048,0.599009
0.300000,0.010000,40,0.285948,-0.014052,-0.018822,0.599009
