varpi,metric,mean,median,std,n_valid,n_paths
0.0001,H_latent_10,0.19175705833838547,0.19025155760849677,0.013987694146745795,20,20
0.0001,H_rv5m_10,0.17504555384417303,0.17388994368502952,0.013903549205234648,20,20
0.0001,H_rk_10,0.18265901857276984,0.18221291189948993,0.014283479687228911,20,20
0.0001,H_tsrv_10,0.17776472063771814,0.1785806362553018,0.014246646562261291,20,20
0.0001,H_corr_rv5m_10,0.22591818664301622,0.19262906569576754,0.07206547309221467,20,20
0.0001,H_corr_rk_10,0.24443843123133568,0.20415014224945255,0.0819161166980434,20,20
0.0001,H_latent_40,0.18416846837599302,0.1827944424161897,0.016143577361467536,20,20
0.0001,H_rv5m_40,0.17264283564685795,0.1732381013479669,0.014570207827180673,20,20
0.0001,H_rk_40,0.17776379824340902,0.17608690047740314,0.014623941380990947,20,20
0.0001,H_corr_rv5m_40,0.20403814244969404,0.1825793983089426,0.050509745147426,20,20
0.0001,H_corr_rk_40,0.21449602023418163,0.19016377483460623,0.0527747516965993,20,20
0.0001,omega2_true_rv5m,0.0300135045402262,0.030005272288932756,0.0015096180389962044,20,20
0.0001,omega2_true_rk,0.016610601556513775,0.016769214354261076,0.0005649549924205582,20,20
0.0001,omega2_fit_rv5m,0.04874220844646336,0.0,0.06388212273650173,20,20
0.0001,omega2_fit_rk,0.05659736852113336,0.014857978932862979,0.06410123663824405,20,20
0.0001,correction_valid_10_rate,1.0,,,20,20
0.0005,H_latent_10,0.19175705833838547,0.19025155760849677,0.013987694146745795,20,20
0.0005,H_rv5m_10,0.1463261358604087,0.14426929179182957,0.01675121284548936,20,20
0.0005,H_rk_10,0.17239354063593498,0.17144205769419377,0.012665692071697486,20,20
0.0005,H_tsrv_10,0.150861041324256,0.14935839194750838,0.01519387371746632,20,20
0.0005,H_corr_rv5m_10,0.15974826752219784,0.15221915090687443,0.026166435741493216,20,20
0.0005,H_corr_rk_10,0.3965076512377322,0.35947611650020184,0.125109454606248,19,20
0.0005,H_latent_40,0.18416846837599302,0.1827944424161897,0.016143577361467536,20,20
0.0005,H_rv5m_40,0.14800282566154066,0.1470254281508553,0.017580171187728776,20,20
0.0005,H_rk_40,0.16869449593365843,0.16674568686195979,0.015841117427434787,20,20
0.0005,H_corr_rv5m_40,0.1582146341512089,0.15251053006952686,0.028927099206548807,20,20
0.0005,H_corr_rk_40,0.2896584566325274,0.26693908761881807,0.051464114654150704,19,20
0.0005,omega2_true_rv5m,0.28196033373761276,0.2829894824422191,0.014116278870023135,20,20
0.0005,omega2_true_rk,0.08887868855195834,0.08854400589598367,0.007482802059747849,20,20
0.0005,omega2_fit_rv5m,0.009601184569417907,0.0,0.016965061683051126,20,20
0.0005,omega2_fit_rk,0.1163044008336583,0.11691813022144826,0.023440824670111184,20,20
0.0005,correction_valid_10_rate,0.95,,,19,20
